,Name,Age,OVA,Nationality,Club,BOV,BP,Position,POT,Height,Weight,foot,Growth,Value,Wage,Release Clause
35,L. Thuram,35,83,France,FC Barcelona,83,CB,CB,87,73,174lbs,Right,4,0.0,0.0,0.0
36,T. Henry,36,79,France,Unknown,80,CAM,CF ST CAM LW,79,74,183lbs,Right,0,0.0,0.0,0.0
37,C. Makélelé,37,74,France,Paris Saint-Germain,74,CDM,CDM CM,81,69,154lbs,Right,7,0.0,0.0,0.0
38,G. Coupet,37,75,France,Paris Saint-Germain,75,GK,GK,83,71,176lbs,Right,8,0.0,0.0,0.0
39,O. Solskjær,34,75,Norway,Manchester United,75,ST,ST,83,69,163lbs,Right,8,0.0,0.0,0.0
40,L. Bowyer,34,69,England,Ipswich Town,69,CM,Unknown,69,69,152lbs,Right,0,275000.0,3000.0,0.0
41,M. Stekelenburg,37,72,Netherlands,Ajax,72,GK,GK,72,78,203lbs,Right,0,325000.0,5000.0,455000.0
42,H. Trabelsi,29,79,Tunisia,Manchester City,84,RWB,Unknown,82,71,163lbs,Right,3,0.0,0.0,0.0
43,R. Weidenfeller,36,75,Germany,Borussia Dortmund,74,GK,GK,75,75,198lbs,Left,0,900000.0,20000.0,1500000.0
44,E. Heskey,37,66,England,Bolton Wanderers,66,ST,Unknown,66,73,205lbs,Right,0,80000.0,4000.0,0.0
45,Eliseu,33,76,Portugal,SL Benfica,75,LB,LB,76,69,181lbs,Left,0,3000000.0,15000.0,5900000.0
46,S. Given,40,73,Republic of Ireland,Stoke City,72,GK,GK,73,73,185lbs,Right,0,500000.0,20000.0,0.0
47,K. Ellison,41,58,England,Newport County,61,ST,LM ST,58,71,168lbs,Left,0,0.0,2000.0,0.0
48,R. Delap,36,63,Republic of Ireland,Burton Albion,66,CB,CM RM RB,63,72,165lbs,Right,0,35000.0,0.0,0.0
49,S. Petrov,32,76,Bulgaria,Aston Villa,75,CM,Unknown,76,71,170lbs,Right,0,2200000.0,20000.0,0.0
50,Tarantini,36,72,Portugal,Rio Ave FC,72,CM,Unknown,72,74,172lbs,Right,0,975000.0,6000.0,2000000.0
51,S. Wright-Phillips,34,68,England,New York Red Bulls,69,CAM,Unknown,68,65,141lbs,Right,0,425000.0,6000.0,0.0
52,Yuri,37,71,Brazil,SD Ponferradina,71,ST,ST,71,73,172lbs,Right,0,850000.0,6000.0,1300000.0
53,J. O'Shea,37,66,Republic of Ireland,Reading,65,CB,CB,66,75,185lbs,Right,0,45000.0,7000.0,171000.0
54,Ricardo Carvalho,38,79,Portugal,Portugal,77,CB,CB,79,72,174lbs,Right,0,0.0,0.0,0.0
55,M. Ballack,34,80,Germany,Bayer 04 Leverkusen,79,CM,Unknown,80,74,194lbs,Right,0,3200000.0,30000.0,0.0
56,Dida,39,75,Brazil,Internacional,75,GK,GK,75,77,187lbs,Left,0,0.0,30000.0,0.0
57,B. Schneider,34,80,Germany,Bayer 04 Leverkusen,83,CF,RM,88,70,179lbs,Right,8,0.0,0.0,0.0
58,Simão,33,74,Portugal,RCD Espanyol,75,CAM,LM CAM,74,67,141lbs,Right,0,1200000.0,35000.0,0.0
59,A. Radomski,34,63,Poland,Cracovia,63,CB,Unknown,63,70,170lbs,Right,0,50000.0,2000.0,0.0
60,G. Gattuso,34,78,Italy,FC Sion,77,CDM,CDM CM RM,78,70,170lbs,Right,0,825000.0,20000.0,0.0
61,C. Reyna,33,76,United States,New York Red Bulls,77,CM,CM,80,70,157lbs,Right,4,0.0,0.0,0.0
62,Cafu,37,83,Brazil,Milan,86,CF,RB,88,69,165lbs,Right,5,0.0,0.0,0.0
63,M. Oddo B,35,71,Italy,Lecce,72,CM,Unknown,71,72,168lbs,Right,0,130000.0,6000.0,0.0
64,B. Mendy,31,63,France,Stade Brestois 29,64,CB,RB,63,71,170lbs,Right,0,120000.0,4000.0,0.0
65,M. Owen,32,74,England,Stoke City,74,ST,ST CF,74,68,154lbs,Right,0,1800000.0,10000.0,0.0
66,M. Bagayoko,32,71,Mali,Doncaster Rovers,71,ST,Unknown,71,75,176lbs,Right,0,850000.0,6000.0,0.0
67,J. Carragher,34,77,England,Liverpool,77,CB,Unknown,77,73,183lbs,Right,0,825000.0,20000.0,0.0
68,F. Lampard,38,78,England,New York City FC,76,CM,CM CDM CAM,78,72,196lbs,Right,0,575000.0,8000.0,0.0
69,Casillas,38,79,Spain,FC Porto,79,GK,GK,79,73,185lbs,Left,0,1300000.0,8000.0,2600000.0
70,Figo,35,78,Portugal,Inter,81,CF,RW,86,71,165lbs,Right,8,0.0,0.0,0.0
71,E. Davids,39,64,Netherlands,Barnet,69,CDM,CM CDM LM CAM,64,67,150lbs,Left,0,1000.0,0.0,0.0
72,J. Litmanen,39,75,Finland,Finland,75,CAM,Unknown,86,71,176lbs,Right,11,0.0,0.0,0.0
73,P. Kluivert,30,81,Netherlands,LOSC Lille,81,ST,Unknown,81,74,176lbs,Right,0,0.0,0.0,0.0
74,J. Stam,34,82,Netherlands,Ajax,82,CB,Unknown,90,74,190lbs,Right,8,0.0,0.0,0.0
75,E. Gudjohnsen,36,71,Iceland,Molde FK,71,CF,Unknown,71,73,196lbs,Right,0,190000.0,25000.0,0.0
76,N. Anelka,34,77,France,West Bromwich Albion,76,ST,ST,77,73,176lbs,Right,0,2100000.0,45000.0,0.0
77,A. Gilardino,34,72,Italy,Spezia,71,ST,ST,72,72,174lbs,Right,0,1600000.0,5000.0,2600000.0
78,D. Trezeguet,35,74,France,Newell's Old Boys,74,ST,ST,74,75,176lbs,Right,0,1100000.0,45000.0,0.0
79,M. Jankulovski,33,72,Czech Republic,Milan,75,LM,LWB LM LB LW,85,72,181lbs,Left,13,0.0,0.0,0.0
80,P. Nedved,35,80,Czech Republic,Juventus,81,CF,LM,88,70,154lbs,Right,8,0.0,0.0,0.0
81,G. Barry,38,70,England,West Bromwich Albion,70,CDM,CDM CM,70,72,172lbs,Left,0,375000.0,15000.0,713000.0
82,D. Stanković,33,78,Serbia,Inter,78,CAM,Unknown,78,71,165lbs,Right,0,2700000.0,30000.0,0.0
83,F. Ljungberg,33,74,Sweden,Celtic,75,RM,Unknown,83,69,161lbs,Right,9,0.0,0.0,0.0
84,K. Kaladze,33,76,Georgia,Genoa,75,CB,Unknown,76,73,168lbs,Left,0,1200000.0,20000.0,0.0
85,R. Ferdinand,35,75,England,Queens Park Rangers,74,CB,CB,75,76,190lbs,Right,0,550000.0,25000.0,0.0
86,H. Crespo,35,76,Argentina,Parma,75,ST,Unknown,76,72,179lbs,Right,0,1700000.0,20000.0,0.0
87,A. Cassano,33,76,Italy,Sampdoria,78,CAM,CF,76,69,176lbs,Right,0,3400000.0,40000.0,0.0
88,L. Donovan,35,73,United States,Club León,74,CAM,LM ST,73,68,154lbs,Right,0,1800000.0,20000.0,3000000.0
89,A. Pirlo,38,77,Italy,New York City FC,74,CM,CM CDM,77,70,150lbs,Right,0,2200000.0,8000.0,4200000.0
90,R. van Persie,34,78,Netherlands,Feyenoord,78,CAM,ST CAM,78,74,157lbs,Left,0,5500000.0,20000.0,7700000.0
91,D. Rommedahl,34,65,Denmark,RKC Waalwijk,67,CAM,RM,65,70,165lbs,Right,0,150000.0,3000.0,0.0
92,G. Heinze,35,74,Argentina,Newell's Old Boys,73,CB,Unknown,74,70,159lbs,Left,0,300000.0,45000.0,0.0
93,T. Rosický,36,79,Czech Republic,Sparta Praha,78,CAM,CAM CM RM,79,70,159lbs,Right,0,4200000.0,2000.0,9300000.0
94,S. Parker,35,72,England,Fulham,72,CDM,CDM CM,72,69,152lbs,Right,0,350000.0,15000.0,0.0
95,O. Daf,35,64,Senegal,FC Sochaux-Montbéliard,69,CB,Unknown,64,70,157lbs,Right,0,45000.0,2000.0,0.0
96,M. Viduka,33,74,Australia,Unknown,72,ST,Unknown,81,74,198lbs,Right,7,0.0,0.0,0.0
97,L. Scaloni,36,65,Argentina,Atalanta,66,CB,Unknown,65,72,176lbs,Right,0,0.0,3000.0,0.0
98,Manuel Pablo,39,67,Spain,Deportivo de La Coruña,71,CDM,Unknown,67,69,176lbs,Right,0,0.0,6000.0,0.0
99,A. Robben,36,80,Netherlands,FC Groningen,81,CAM,RM CAM,80,71,176lbs,Left,0,5000000.0,12000.0,7300000.0
100,Y. Benayoun,33,76,Israel,Queens Park Rangers,78,CAM,LM CAM RM,76,70,154lbs,Right,0,1900000.0,35000.0,0.0
101,S. Eto'o,36,81,Cameroon,Atiker Konyaspor,79,ST,ST,81,70,165lbs,Right,0,6500000.0,20000.0,13000000.0
102,C. Bellamy,33,73,Wales,Cardiff City,75,CAM,Unknown,73,69,152lbs,Right,0,875000.0,25000.0,0.0
103,R. van Nistelrooy,34,77,Netherlands,Málaga CF,76,ST,Unknown,77,74,176lbs,Right,0,2100000.0,20000.0,0.0
104,Xavi,34,86,Spain,FC Barcelona,85,CAM,CM,86,67,148lbs,Right,0,15500000.0,160000.0,0.0
105,M. Heinz,31,64,Czech Republic,KSV 1919,64,CF,CAM,82,74,181lbs,Left,18,0.0,0.0,0.0
106,C. Porter,36,63,England,Crewe Alexandra,63,ST,Unknown,63,73,183lbs,Right,0,130000.0,2000.0,228000.0
107,T. Dellas,35,72,Greece,AEK Athens,72,CB,Unknown,72,78,205lbs,Right,0,210000.0,7000.0,0.0
108,G. Asamoah,33,66,Germany,SpVgg Greuther Fürth,66,ST,ST CF RW,66,71,187lbs,Right,0,325000.0,3000.0,0.0
109,M. Klose,37,79,Germany,Lazio,77,ST,ST,79,72,185lbs,Right,0,1300000.0,80000.0,0.0
110,M. Gilks,38,64,Scotland,Bolton Wanderers,64,GK,GK,64,73,179lbs,Right,0,45000.0,2000.0,79000.0
111,A. Stansfield,30,57,England,Exeter City,58,ST,ST,63,71,170lbs,Right,6,0.0,0.0,0.0
112,C. Lupatelli,36,68,Italy,Fiorentina,68,GK,Unknown,68,74,185lbs,Left,0,450000.0,9000.0,0.0
113,S. Keita,35,76,Mali,Roma,76,CB,CDM CM,76,72,165lbs,Left,0,900000.0,70000.0,0.0
114,O. Hargreaves   B,30,78,England,Manchester City,77,CDM,CDM CM RM RWB,78,71,161lbs,Right,0,3000000.0,30000.0,0.0
115,J. Riise,34,72,Norway,Aalesunds FK,76,CDM,Unknown,72,74,181lbs,Left,0,1000000.0,15000.0,0.0
116,A. Friedrich,33,74,Germany,Chicago Fire,73,CB,Unknown,74,73,181lbs,Right,0,775000.0,8000.0,0.0
117,Puyol,35,83,Spain,FC Barcelona,82,CB,CB,83,70,176lbs,Right,0,1300000.0,100000.0,0.0
118,A. Shevchenko,32,77,Ukraine,Ukraine,77,ST,ST,85,72,159lbs,Right,8,0.0,0.0,0.0
119,W. Brown,36,66,England,Blackburn Rovers,65,CB,CB,66,73,170lbs,Right,0,0.0,6000.0,0.0
120,J. Terry,36,76,England,Aston Villa,75,CB,CB,76,74,198lbs,Right,0,1000000.0,30000.0,2000000.0
121,A. Smith,36,61,England,Notts County,61,CB,CM CDM ST,61,71,179lbs,Right,0,80000.0,3000.0,140000.0
122,S. Gerrard,36,81,England,LA Galaxy,79,CM,CM CDM,81,72,183lbs,Right,0,1400000.0,10000.0,0.0
123,Sun Jihai,31,64,China PR,China PR,66,CF,RB,75,71,148lbs,Right,11,0.0,0.0,0.0
124,P. Robinson,36,69,England,Burnley,68,GK,GK,69,76,198lbs,Right,0,450000.0,10000.0,0.0
125,J. Koller,36,78,Czech Republic,Unknown,78,ST,Unknown,80,80,234lbs,Right,2,0.0,0.0,0.0
126,J. Ángel,38,68,Colombia,Atlético Nacional,68,ST,Unknown,68,73,181lbs,Right,0,100000.0,10000.0,0.0
127,D. Kuyt,35,75,Netherlands,Feyenoord,75,ST,CAM,75,72,185lbs,Right,0,1500000.0,15000.0,0.0
128,T. Howard,40,71,United States,Colorado Rapids,70,GK,GK,71,75,194lbs,Right,0,240000.0,3000.0,348000.0
129,D. Van Buyten,35,78,Belgium,FC Bayern München,77,CB,CB,78,78,209lbs,Right,0,650000.0,70000.0,0.0
130,T. Sanneh,38,62,United States,Unknown,63,CB,Unknown,72,74,190lbs,Right,10,0.0,0.0,0.0
131,N. Penneteau,39,73,France,Sporting de Charleroi,73,GK,GK,73,73,172lbs,Left,0,400000.0,6000.0,600000.0
132,J. Collins,34,72,Wales,Ipswich Town,71,CB,Unknown,72,74,183lbs,Right,0,950000.0,8000.0,1800000.0
133,J. Ibehre,36,58,England,Cambridge United,58,ST,ST,58,76,203lbs,Right,0,45000.0,2000.0,79000.0
134,Valerón,40,74,Spain,UD Las Palmas,74,CAM,CAM CM,74,73,168lbs,Right,0,0.0,15000.0,0.0
135,G. Holt,34,67,England,Rochdale,67,ST,Unknown,67,72,174lbs,Right,0,375000.0,2000.0,0.0
136,Hélder Postiga,32,74,Portugal,Rio Ave FC,74,ST,ST,74,71,168lbs,Right,0,2700000.0,40000.0,0.0
137,Ricardo Costa,39,73,Portugal,Boavista FC,73,CB,CB,73,72,176lbs,Right,0,550000.0,5000.0,1200000.0
138,Y. Touré,35,80,Ivory Coast,Olympiacos CFP,78,CM,CM CDM,80,75,203lbs,Right,0,6000000.0,2000.0,12600000.0
139,Alan,36,74,Brazil,SC Braga,75,CAM,Unknown,74,71,154lbs,Right,0,275000.0,10000.0,0.0
140,Quaresma,36,79,Portugal,Vitória Guimarães,79,RM,RM LM,79,69,148lbs,Right,0,4200000.0,11000.0,8800000.0
141,Danny,34,76,Portugal,Clube Sport Marítimo,75,CAM,CAM LM,76,70,150lbs,Right,0,3900000.0,10000.0,8199999.999999999
142,Cristiano Ronaldo,35,92,Portugal,Juventus,92,ST,ST LW,92,74,183lbs,Right,0,46000000.0,220000.0,75900000.0
143,A. Frei,32,77,Switzerland,FC Basel 1893,76,ST,Unknown,77,71,163lbs,Right,0,2800000.0,40000.0,0.0
144,M. Carrick,35,79,England,Manchester United,78,CM,CDM,79,74,163lbs,Right,0,3000000.0,90000.0,5500000.0
145,Rogério Ceni,40,75,Brazil,São Paulo,75,GK,GK,75,74,194lbs,Right,0,0.0,30000.0,0.0
146,R. Cretaro,38,56,Republic of Ireland,Finn Harps,56,CF,CF CAM ST,56,65,141lbs,Right,0,30000.0,500.0,47000.0
147,L. Toni,38,76,Italy,Hellas Verona,75,ST,ST,76,76,194lbs,Right,0,650000.0,40000.0,0.0
148,J. Riquelme,35,79,Argentina,Boca Juniors,78,CAM,CAM,79,72,174lbs,Right,0,2500000.0,80000.0,0.0
149,J. De Guzmán,34,64,Canada,Canada,64,CDM,Unknown,64,67,150lbs,Right,0,0.0,0.0,0.0
150,M. Bordon,33,82,Brazil,FC Schalke 04,83,CB,CB,84,74,198lbs,Left,2,0.0,0.0,0.0
151,W. Samuel,37,74,Argentina,FC Basel 1893,74,CB,CB,74,72,179lbs,Left,0,0.0,40000.0,0.0
152,R. Taylor,33,67,England,Fleetwood Town,69,CDM,Unknown,67,70,154lbs,Right,0,300000.0,4000.0,508000.0
153,Dédé,32,75,Brazil,Borussia Dortmund,77,LM,Unknown,82,69,152lbs,Left,7,0.0,0.0,0.0
154,D. Pizarro,38,73,Chile,Universidad de Chile,72,CM,CM CDM,73,67,143lbs,Right,0,1000000.0,8000.0,1800000.0
155,M. Yepes,39,74,Colombia,San Lorenzo de Almagro,74,CB,CB,74,73,183lbs,Left,0,0.0,40000.0,0.0
156,O. Mellberg,35,74,Sweden,FC København,74,CB,Unknown,74,74,183lbs,Right,0,300000.0,45000.0,0.0
157,C. Pizarro,40,74,Peru,SV Werder Bremen,74,ST,ST,74,72,185lbs,Right,0,0.0,19000.0,0.0
158,R. Santa Cruz,38,73,Paraguay,Olimpia Asunción,73,ST,ST,73,74,176lbs,Right,0,1400000.0,500.0,3100000.0
159,Capdevila,36,69,Spain,Lierse SK,70,CDM,LB,69,72,172lbs,Left,0,0.0,6000.0,0.0
160,R. Márquez,38,73,Mexico,Club Atlas,72,CB,CB CDM,73,72,165lbs,Right,0,275000.0,15000.0,935000.0
161,S. Distin,37,77,France,Bournemouth,77,CB,Unknown,77,76,194lbs,Left,0,0.0,30000.0,0.0
162,Ronaldinho,34,78,Brazil,Querétaro,77,CAM,CAM ST,78,72,168lbs,Right,0,4099999.9999999995,45000.0,0.0
163,J. Krzynówek,33,72,Poland,Hannover 96,75,CF,LM,79,70,161lbs,Left,7,0.0,0.0,0.0
164,Zé Roberto,40,74,Brazil,Palmeiras,74,CAM,CAM LB,74,68,159lbs,Left,0,0.0,35000.0,0.0
165,S. Ono,38,54,Japan,Hokkaido Consadole Sapporo,55,CAM,CM CAM RM CDM,54,69,168lbs,Right,0,15000.0,1000.0,25000.0
166,B. Kouassi,33,62,Ivory Coast,Angers SCO,62,CB,Unknown,68,74,165lbs,Left,6,0.0,0.0,0.0
167,S. Nakamura,42,65,Japan,Yokohama FC,65,CAM,CAM CF RW,65,70,157lbs,Left,0,0.0,1000.0,0.0
168,D. Berbatov,34,80,Bulgaria,PAOK,79,ST,ST CAM,80,74,165lbs,Right,0,7500000.0,50000.0,0.0
169,H. Sarpei,35,68,Ghana,FC Schalke 04,70,CB,Unknown,68,70,161lbs,Right,0,80000.0,4000.0,0.0
170,D. Drogba,38,81,Ivory Coast,Unknown,79,ST,ST,81,74,176lbs,Right,0,0.0,0.0,0.0
171,K. Källström,34,77,Sweden,Djurgårdens IF,76,CM,Unknown,77,73,183lbs,Left,0,4300000.0,10000.0,5400000.0
172,A. Cole,37,70,England,Derby County,69,CDM,LB,70,69,146lbs,Left,0,80000.0,15000.0,380000.0
173,A. Thompson,36,63,Australia,Melbourne Victory,66,RW,Unknown,63,69,154lbs,Right,0,25000.0,5000.0,0.0
174,A. Floro Flores,34,72,Italy,Chievo Verona,67,CAM,Unknown,72,72,172lbs,Right,0,400000.0,6000.0,0.0
175,J. Yobo,32,74,Nigeria,Fenerbahçe SK,73,CB,Unknown,74,74,168lbs,Right,0,1100000.0,45000.0,0.0
176,K. Beckerman,38,68,United States,Real Salt Lake,68,CDM,CDM CM,68,70,154lbs,Right,0,190000.0,2000.0,276000.0
177,Ronaldo,33,77,Brazil,Corinthians,80,CAM,ST,91,72,209lbs,Right,14,0.0,0.0,0.0
178,D. Beasley,37,68,United States,Houston Dynamo,67,LWB,LB,68,68,146lbs,Left,0,100000.0,3000.0,232000.0
179,J. Park,32,78,Korea Republic,PSV,77,CAM,CAM RW,78,70,161lbs,Right,0,4099999.9999999995,80000.0,0.0
180,Edmilson,34,68,Brazil,Ceará Sporting Club,68,CDM,Unknown,68,73,165lbs,Right,0,100000.0,3000.0,0.0
181,S. Govou,32,69,France,Évian Thonon Gaillard FC,69,CAM,Unknown,69,70,170lbs,Right,0,400000.0,5000.0,0.0
182,S. Diawara,35,73,Senegal,OGC Nice,72,CB,CB,73,74,194lbs,Right,0,400000.0,25000.0,0.0
183,S. Ameobi,35,64,Nigeria,Notts County,63,ST,ST,64,75,209lbs,Right,0,210000.0,5000.0,368000.0
184,Z. Ibrahimović,38,83,Sweden,Milan,83,ST,ST,83,77,209lbs,Right,0,9500000.0,49000.0,16200000.0
185,P. Mexès,33,77,France,Milan,77,CB,CB,77,74,181lbs,Right,0,3100000.0,60000.0,0.0
186,B. Cheyrou,36,68,France,Toronto FC,67,CDM,CM CDM,68,72,174lbs,Left,0,275000.0,4000.0,420000.0
187,M. Niang,34,67,Senegal,AC Arles Avignon,67,RW,ST,67,70,176lbs,Right,0,375000.0,8000.0,0.0
188,J. Dudek,37,72,Poland,Real Madrid,72,GK,Unknown,82,74,172lbs,Left,10,0.0,0.0,0.0
189,J. McFadden,33,66,Scotland,Motherwell,66,CAM,ST CAM,66,70,172lbs,Left,0,425000.0,3000.0,0.0
190,Mikel Arteta,33,78,Spain,Arsenal,77,CM,CM CDM,78,69,141lbs,Right,0,5000000.0,70000.0,0.0
191,Joaquín,38,80,Spain,Real Betis,81,CAM,LM RM,80,70,165lbs,Right,0,5000000.0,22000.0,10500000.0
192,Xabi Alonso,34,82,Spain,FC Bayern München,82,CM,CDM CM,82,72,176lbs,Right,0,6000000.0,100000.0,0.0
193,A. Hleb,35,74,Belarus,Krylya Sovetov Samara,73,CAM,CAM LW,74,73,161lbs,Right,0,1300000.0,20000.0,0.0
194,M. Antonsson,36,66,Sweden,FC København,65,CB,Unknown,66,74,176lbs,Right,0,90000.0,4000.0,117000.0
195,R. van der Vaart,35,67,Netherlands,Esbjerg fB,67,CAM,CM,67,69,163lbs,Left,0,325000.0,3000.0,406000.0
196,D. Bonera,37,75,Italy,Villarreal CF,74,CB,Unknown,75,72,185lbs,Right,0,450000.0,20000.0,1900000.0
197,M. Brighi,37,69,Italy,Empoli,68,CM,CM CDM,69,70,170lbs,Right,0,275000.0,6000.0,585000.0
198,D. Bierofka,34,64,Germany,TSV 1860 München,65,CAM,Unknown,64,70,165lbs,Right,0,50000.0,4000.0,0.0
199,Raúl,34,81,Spain,FC Schalke 04,81,CAM,CF ST CAM,81,71,150lbs,Left,0,4300000.0,50000.0,0.0
200,M. Essien,33,74,Ghana,Panathinaikos FC,72,CDM,CDM CM,74,70,187lbs,Right,0,1500000.0,2000.0,0.0
201,M. Zidan,29,75,Egypt,1. FSV Mainz 05,77,RW,Unknown,75,68,157lbs,Right,0,2400000.0,10000.0,0.0
202,J. Olsson,35,68,Sweden,Wigan Athletic,67,CB,CB,68,76,185lbs,Left,0,210000.0,15000.0,399000.0
203,M. Rosenberg,36,72,Sweden,Malmö FF,71,ST,ST,72,72,179lbs,Right,0,1100000.0,6000.0,1400000.0
204,C. Samba,33,71,Congo,Aston Villa,70,CB,Unknown,71,77,220lbs,Right,0,950000.0,20000.0,1800000.0
205,E. Moretti,37,75,Italy,Torino,74,CB,Unknown,75,72,170lbs,Left,0,450000.0,20000.0,1500000.0
206,B. Hangeland,34,72,Norway,Crystal Palace,72,CB,CB,72,77,203lbs,Right,0,650000.0,15000.0,0.0
207,M. Pedersen,37,68,Norway,Tromsø IL,68,CM,CM,68,72,163lbs,Left,0,275000.0,2000.0,344000.0
208,D. Mobaeck,35,60,Sweden,IF Elfsborg,60,CB,Unknown,60,72,174lbs,Right,0,30000.0,2000.0,0.0
209,S. Proto,37,75,Belgium,Lazio,75,GK,GK,75,72,163lbs,Right,0,675000.0,22000.0,1100000.0
210,Gilberto Silva,36,73,Brazil,Atlético Mineiro,73,CB,CB,73,72,163lbs,Right,0,0.0,35000.0,0.0
211,Júlio César,37,80,Brazil,SL Benfica,78,GK,Unknown,80,73,174lbs,Left,0,1000000.0,9000.0,2000000.0
212,F. Coloccini,38,71,Argentina,San Lorenzo de Almagro,71,CB,CB,71,72,183lbs,Right,0,475000.0,9000.0,713000.0
213,P. Čech,36,81,Czech Republic,Arsenal,79,GK,GK,81,77,198lbs,Left,0,2400000.0,60000.0,4600000.0
214,A. McGregor,38,74,Scotland,Rangers FC,74,GK,GK,74,72,163lbs,Right,0,575000.0,21000.0,1000000.0
215,K. Kurányi,33,74,Germany,TSG 1899 Hoffenheim,74,ST,ST,74,75,194lbs,Right,0,2300000.0,25000.0,0.0
216,S. Maloney,33,73,Scotland,Scotland,72,CAM,Unknown,73,67,152lbs,Right,0,0.0,0.0,0.0
217,K. Boyd,34,70,Scotland,Kilmarnock,69,ST,ST,70,73,183lbs,Right,0,925000.0,6000.0,1600000.0
